aegislash,groudon,groudon-primal,landorus-t,arceus-ground,zygarde-c,yvektal,arceus-dark,dialga,ferrothron,celesteela,muk-alola,toxapex,necrozma-dusk mane,giratina-origin,lunala,marshadow,arceus-ghost,kyogre-primal,,,,,,,,,
arceus,mega sableye,marshadow,gengar,lugia,zygarde-c,skarmory,mega scizor,ferrothorn,celesteela,mega mewtwo x,mega blaziken,mega salamence,arceus-rock,tyranitar,yveltal,mega tyranitar,,,,,,,,,,,
arceus-bug,ho-oh,mega salamence,shaymin-sky,rayquaza,groudon-primal,mega gengar,necrozma-dusk mane,mega lucario,skarmory,celesteela,ferrothorn,mega scizor,xerneas,arceus-fire,,,,,,,,,,,,,
arceus-dark,xerneas,arceus-fairy,magearna,mega lucario,marshadow,blaziken,pheromosa,ferrothorn,celesteela,mega scizor,blissey,chansey,kyogre-primal,ho-oh,,,,,,,,,,,,,
arceus-dragon,xerneas,arceus-fairy,magearna,mega diancie,gothitelle,ho-oh,kyogre-primal,chansey,blissey,necrozma-dusk mane,rayquaza,zygarde-c,mega salamence,cloyster,dialga,naganadel,,,,,,,,,,,
arceus-electric,groudon,groudon-primal,arceus-ground,blissey,chansey,ferrothorn,magearna,necrozma-dusk mane,ultra necrozma,mega gengar,gothitelle,,,,,,,,,,,,,,,,
arceus-fairy,mega gengar,gothitelle,necrozma-dusk mane,groudon-primal,ho-oh,ferrothorn,mega scizor,arceus-steel,kyogre-primal,toxapex,,,,,,,,,,,,,,,,,
arceus-fighting,ho-oh,arceus-fairy,xerneas,mega salamence,arceus-flying,ultra necrozma,mega mewtwo y,mega gengar,giratina-origin,marshadow,toxapex,,,,,,,,,,,,,,,,
arceus-fire,chansey,blissey,arceus-rock,tyranitar,mega diancie,kyogre-primal,kyogre,ho-oh,groudon-primal,arceus-ground,ultra necrozma,mega gengar,mega mewtwo x,mega mewtwo y,mewtwo,,,,,,,,,,,,
arceus-flying,tyranitar,mega tyranitar,mega diancie,arceus-rock,ho-oh,toxapex,lugia,necrozma-dusk mane,magearna,celesteela,dialga,zekrom,arceus-electric,blissey,chansey,kyurem-white,arceus-ice,ultra necrozma,,,,,,,,,
arceus-ghost,yveltal,marshadow,arceus-dark,mega gengar,zygarde-c,arceus,,,,,,,,,,,,,,,,,,,,,
arceus-grass,ho-oh,mega gengar,gothitelle,chansey,blissey,toxapex,arceus-flying,yveltal,rayquaza,dialga,giratina-origin,arceus-dragon,,,,,,,,,,,,,,,
arceus-ground,lugia,celesteela,skarmory,acreus-water,giratina,giratina-origin,gothitelle,marshadow,ho-oh,chansey,blissey,shaymin-sky,arceus-grass,buzzwole,kyogre-primal,yveltal,ultra necrozma,,,,,,,,,,
arceus-ice,ho-oh,blissey,chansey,necrozma-dusk mane,magearna,mega scizor,marshadow,mega lucario,arceus-fighting,groudon-primal,arceus,arceus-ghost,arceus-water,kyogre-primal,tyranitar,mega tyranitar,arceus-rock,,,,,,,,,,
arceus-poison,groudon,groudon-primal,zygarde-c,arceus-ground,mega lucario,skarymory,celesteela,lunala,giratina-origin,giratina,mega gengar,arceus-ghost,marshadow,ultra necrozma,deoxys-a,mewtwo,mega mewtwo x,mega mewtwo y,toxapex,kyogre-primal,mega salamence,,,,,,
arceus-psychic,yveltal,arceus-dark,mega sableye,mega gengar,marshadow,gothitelle,groudon-primal,kyogre-primal,ho-oh,rayquaza,necrozma-dusk mane,celesteela,magearna,skarmory,,,,,,,,,,,,,
arceus-rock,groudon,groudon-primal,arceus-ground,necrozma-dusk mane,ferrothorn,magearna,marshadow,mega lucario,arceus-fighting,kyrogre-primal,blissey,chansey,gothitelle,arceus-grass,arceus-water,mega gengar,pheromosa,deoxys-a,mega mewtwo y,mega mewtwo x,lunala,,,,,,
arceus-steel,celeteela,skarmory,groudon,groudon-primal,arceus-ground,zygarde-c,marshadow,mega lucario,arceus-water,kyogre-primal,giratina-origin,giratina,buzzwole,,,,,,,,,,,,,,
arceus-water,ferrothorn,dialga,kyogre-primal,gothitelle,chansey,blissey,zekrom,arceus-grass,shaymin-sky,groudon-primal,ultra necrozma,,,,,,,,,,,,,,,,
blaziken,groudon,groudon-primal,arceus-ground,arceus-water,arceus-fairy,toxapex,mega slowbro,zygrade-c,lugia,xerneas,yveltal,ultra necrozma,mega salamence,arceus,marshadow,rayquaza,deoxys-a,,,,,,,,,,
mega blaziken,groudon,groudon-primal,arceus-ground,arceus-water,arceus-fairy,toxapex,mega slowbro,zygrade-c,lugia,xerneas,yveltal,ultra necrozma,mega salamence,arceus,marshadow,rayquaza,deoxys-a,,,,,,,,,,
darkrai,magearna,xerneas,arceus-fairy,ultra necrozma,mewtwo,mega mewtwo x,mega mewtwo y,mega gengar,deoxys-a,chansey,blissey,tyranitar,mega tyranitar,ho-oh,kyogre-primal,arceus,rayquaze,mega lucario,mega scizor,,,,,,,,
deoxys,necrozma-dusk mane,magearna,yveltal,arceus-dark,tyranitar,mega tyranitar,mega sableye,lunala,giratina-origin,giratina,marshadow,xerneas,mega mewtwo y,arceus-ground,arceus-water,arceus-fairy,groudon-primal,kyogre-primal,,,,,,,,,
deoxys-a,marshadow,mega lucario,arceus,yveltal,xerneas,mega sableye,arceus-dark,muk-alola,lugia,necrozma-dusk mane,ultra necrozma,gothitelle,celesteela,ferrothorn,magearna,,,,,,,,,,,,
deoxys-d,mega sableye,mega diancie,deoxys-s,mega mewtwo y,mega gengar,marshadow,giratina-origin,arceus-dark,yveltal,muk-alola,tyranitar,mega tyranitar,mega lucario,arceus-ground,arceus-fairy,arceus-flying,,,,,,,,,,,
deoxys-s,excadrill,smeargle,cloyster,rayquaza,marshadow,arceus,giratina-origin,mega sableye,mega diancie,,,,,,,,,,,,,,,,,,
diagla,groudon,groudon-primal,arceus-ground,marshadow,mega lucario,mega blaziken,blaziken,mega mewtwo x,ho-oh,chansey,blissey,excadrill,,,,,,,,,,,,,,,
genesect,ho-oh,toxapex,groudon-primal,skarmory,celesteela,mega gengar,marshadow,giratina-origin,arceus,arceus-ground,arceus-water,arceus-steel,arceus-rock,yveltal,,,,,,,,,,,,,
mega gengar,groudon-primal,kyogre-primal,ho-oh,arceus-ground,tyranitar,mega tyranitar,marshadow,deoxys-a,yveltal,giratina-origin,,,,,,,,,,,,,,,,,
giratina,magearna,arceus-fairy,xerneas,yveltal,arceus-dark,mega sableye,mega diancie,mega gengar,mega gyarados,zygrade-c,arceus-ground,kyogre-primal,arceus,,,,,,,,,,,,,,
giratina-origin,xerneas,magearna,arceus-fairy,yveltal,arceus-dark,mega sableye,chansey,blissey,celesteela,mega gengar,marshadow,rayquaza,palkia,dialga,arceus-ice,arceus-dragon,,,,,,,,,,,
groudon,arceus-water,arceus-dragon,zygrade-c,arceus-ground,lugia,giratina-origin,giratina,mega salamence,ho-oh,kyogre-primal,celesteela,skarmory,yveltal,rayquaza,arceus-flying,lunala,,,,,,,,,,,
groudon-primal,lugia,giratina-origin,giratina,mega salamence,ho-oh,kyogre-primal,celesteela,skarmory,yveltal,rayquaza,arceus-flying,lunala,,,,,,,,,,,,,,,
ho-oh,zygarde-c,arceus-water,toxapex,kyogre-primal,groudon-primal,mega salamence,zekrom,arceus-rock,tyranitar,mega tyranitar,giratina,lugia,mega diancie,,,,,,,,,,,,,,
mega kangaskhan,marshadow,mega sableye,zygarde-c,mega lucario,mega gengar,arceus-ghost,giratina,giratina-origin,ferrothron,buzzwole,skarmory,mega slowbro,chansey,celesteela,groudon-primal,kyogre-primal,yveltal,,,,,,,,,,
kyogre,groudon-primal,ferrothorn,arceus-water,arceus-grass,shaymin-sky,mega venusaur,mega salamence,rayquaza,arceus-dragon,giratina,giratina-origin,zekrom,toxapex,mega slowbro,palkia,chansey,blissey,lugia,lunala,,,,,,,,
kyogre-primal,groudon-primal,ferrothorn,arceus-water,arceus-grass,shaymin-sky,mega venusaur,mega salamence,rayquaza,arceus-dragon,giratina,giratina-origin,zekrom,toxapex,mega slowbro,palkia,chansey,blissey,lugia,lunala,,,,,,,,
kyurem-whitehite,magearna,xerneas,arceus-fairy,marshadow,ultra necrozma,lunala,mega gengar,mega lucario,mega salamence,deoxys-a,mewtwo,mega mewtwo x,mega mewtwo y,arceus-water,kyogre-primal,arceus,arceus-ice,arceus,arceus-dragon,chansey,blissey,ho-oh,necrozma-dusk mane,aegislash,mega scizor,ferrothorn,mega lucario
